sku_a,sku_b,label,evidence
B1144001_S_Y5464,H6729001_S_P0141A,1,same_identity_differing_pack_count
B1151001_S_THP2249,B1151001_S_THP3020,1,same_identity_differing_pack_count
C0195001_S_hongwei001,C0195002_S_hongwei-002,1,same_identity_differing_pack_count
C0195002_S_hongwei-002,C0195002_S_hongwei001,1,same_identity_differing_pack_count
C0195002_S_hongwei-003,C0195002_S_hongwei-004,1,same_identity_differing_pack_count
H5528001_S_DEL025007,H5528001_S_DEL025007X2,1,same_identity_differing_pack_count
H5528001_S_DOV256362,H5528001_S_DOV256362A,1,same_identity_differing_pack_count
H5528001_S_DOV256362,H5528001_S_DOV256362B,1,same_identity_differing_pack_count
H5528001_S_DOV256362A,H5528001_S_DOV256362B,1,same_identity_differing_pack_count
H5528001_S_RSM808204,H5528001_S_RSM808204X2,1,same_identity_differing_pack_count
H5859001_S_ST2804,H5859001_S_ST2811,1,same_identity_differing_pack_count
H5859001_S_ST2804,S2232001_S_GOS2011X2,1,same_identity_differing_pack_count
H5859001_S_ST2804,S6258001_S_GOS2011X2,1,same_identity_differing_pack_count
H5859001_S_ST2805,H5859001_S_ST2812,1,same_identity_differing_pack_count
H5859001_S_ST2806,H5859001_S_ST2813,1,same_identity_differing_pack_count
H5859001_S_ST2808,H5859001_S_ST2815,1,same_identity_differing_pack_count
H5859001_S_ST2809,H5859001_S_ST2816,1,same_identity_differing_pack_count
H5859001_S_ST2810,H5859001_S_ST2817,1,same_identity_differing_pack_count
H5859001_S_ST2811,S2232001_S_GOS2011X2,1,same_identity_differing_pack_count
H5859001_S_ST2811,S6258001_S_GOS2011X2,1,same_identity_differing_pack_count
H6952001_S_980261955,H6952001_S_9802619551,1,same_identity_differing_pack_count
H6952001_S_980261955,H6952001_S_980261956,1,same_identity_differing_pack_count
H6952001_S_9802619551,H6952001_S_980261956,1,same_identity_differing_pack_count
H7473001_S_DHBS1004,H7473001_S_DHBS1004K,1,same_identity_differing_pack_count
H7473001_S_DHBS1011,H7473001_S_DHBS1011K,1,same_identity_differing_pack_count
H7473001_S_DHBS1013,H7473001_S_DHBS1013K,1,same_identity_differing_pack_count
H7473001_S_DHBS1015,H7473001_S_DHBS1015K,1,same_identity_differing_pack_count
H7473001_S_DHBS1017,H7473001_S_DHBS1017K,1,same_identity_differing_pack_count
H7473001_S_DHBS1020,H7473001_S_DHBS1020K,1,same_identity_differing_pack_count
H7473001_S_DHBS1022,H7473001_S_DHBS1022K,1,same_identity_differing_pack_count
H7473001_S_DHBS1026,H7473001_S_DHBS1026K,1,same_identity_differing_pack_count
H7473001_S_DHBS1028,H7473001_S_DHBS1028K,1,same_identity_differing_pack_count
H7473001_S_DHBS1030,H7473001_S_DHBS1030K,1,same_identity_differing_pack_count
H7473001_S_DHBS1036,H7473001_S_DHBS1036K,1,same_identity_differing_pack_count
H7473001_S_DHBS1048,H7473001_S_DHBS1048K,1,same_identity_differing_pack_count
H7473001_S_DHBS1051,H7473001_S_DHBS1051K,1,same_identity_differing_pack_count
H8347001_S_CAPR-006,H8347001_S_CAPR-006X4,1,same_identity_differing_pack_count
H8374001_S_WD_10085,H8374001_S_WD_10085-2,1,same_identity_differing_pack_count
S3046001_S_Aleppo_1_20,S3046001_S_Aleppo_2_20,1,same_identity_differing_pack_count
S3046001_S_Aleppo_1_20,S3046001_S_Aleppo_2_30,1,same_identity_differing_pack_count
S3046001_S_Aleppo_1_20,S3046001_S_Aleppo_4_20,1,same_identity_differing_pack_count
