sku_a,sku_b,label,evidence
B0216001_S_6901404601258,H9299001_S_6901404712534,0,disjoint_ean_same_brand_unit_pack
B0216001_S_6901404601258,H9299001_S_6901404812548,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206264256,B0264001_S_8997206264683,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206264256,B0264001_S_8997206264706,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206264294,B0264001_S_8997206264300,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206264683,B0264001_S_8997206264706,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265147,B0264001_S_8997206265307,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265147,B0264001_S_8997206265321,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265307,B0264001_S_8997206265321,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265345,B0264001_S_8997206265437,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265345,B0264001_S_8997206265444,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265345,B0264001_S_8997206265451,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265345,B0264001_S_8997206265475,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265345,B0264001_S_8997206265482,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265345,B0264001_S_8997206265499,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265345,B0264001_S_8997206265505,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265345,B0264001_S_8997206265512,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265345,B0264001_S_8997206265529,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265345,B0264001_S_8997206265536,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265345,B0264001_S_8997206266427,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265437,B0264001_S_8997206265444,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265437,B0264001_S_8997206265451,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265437,B0264001_S_8997206265475,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265437,B0264001_S_8997206265482,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265437,B0264001_S_8997206265499,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265437,B0264001_S_8997206265505,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265437,B0264001_S_8997206265512,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265437,B0264001_S_8997206265529,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265437,B0264001_S_8997206265536,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265437,B0264001_S_8997206266427,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265444,B0264001_S_8997206265451,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265444,B0264001_S_8997206265475,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265444,B0264001_S_8997206265482,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265444,B0264001_S_8997206265499,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265444,B0264001_S_8997206265505,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265444,B0264001_S_8997206265512,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265444,B0264001_S_8997206265529,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265444,B0264001_S_8997206265536,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265444,B0264001_S_8997206266427,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265451,B0264001_S_8997206265475,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265451,B0264001_S_8997206265482,0,disjoint_ean_same_brand_unit_pack
B0264001_S_8997206265451,B0264001_S_8997206265499,0,disjoint_ean_same_brand_unit_pack
