sku_a,sku_b,label,evidence
B0153002_S_4103040000422,H7915001_S_4103040000422,1,shared_valid_ean13
B0153002_S_4103040000422,H8765001_S_25309,1,shared_valid_ean13
B0216001_S_4891080100034,H9357001_S_4891080100034,1,shared_valid_ean13
B0216001_S_4892659051573,H9357001_S_4892659051573,1,shared_valid_ean13
B0216001_S_4892659051573,H9564001_S_EP06PS100,1,shared_valid_ean13
B0216001_S_4895097007027,H9357001_S_4895097007027,1,shared_valid_ean13
B0216001_S_6297000323060,H8424001_S_6297000323060,1,shared_valid_ean13
B0216001_S_6297000323060,H9357001_S_6297000323060,1,shared_valid_ean13
B0216001_S_6901404601258,H9299001_S_6901404912514,1,shared_valid_ean13
B0216001_S_6901404601258,H9357001_S_6901404601258,1,shared_valid_ean13
B0216001_S_8720182256362-1,B1149001_S_8720182256362,1,shared_valid_ean13
B0216001_S_8720182256362-1,H8728001_S_8720182256362,1,shared_valid_ean13
B0216001_S_8720182256362-1,H9357001_S_8718114047249,1,shared_valid_ean13
B0216001_S_8720182256362-1,H9357001_S_8720182256362-1,1,shared_valid_ean13
B0216001_S_8720182256362-1,H9564001_S_DO06CB06,1,shared_valid_ean13
B0216001_S_9556155017017,H8424001_S_9556155017017,1,shared_valid_ean13
B0216001_S_9556155017017,H9357001_S_9556155017017,1,shared_valid_ean13
B0216001_S_9556155017017,H9564001_S_KA05KS03,1,shared_valid_ean13
B0713001_S_GoatSoap-001,H6167001_S_9349254002028,1,shared_valid_ean13
B0713001_S_GoatSoap-001,H6167002_S_9349254002028,1,shared_valid_ean13
B0713001_S_GoatSoap-001,H7096001_S_9349254002028,1,shared_valid_ean13
B0713001_S_GoatSoap-001,H8427001_S_9349254002028,1,shared_valid_ean13
B0713001_S_GoatSoap-002,H6167001_S_9349254002059,1,shared_valid_ean13
B0713001_S_GoatSoap-002,H6167002_S_9349254002059,1,shared_valid_ean13
B0713001_S_GoatSoap-002,H8427001_S_9349254002059,1,shared_valid_ean13
B0713001_S_GoatSoap-003,H8427001_S_9349254002066,1,shared_valid_ean13
B0713001_S_GoatSoap-004,H6167001_S_9349254004053,1,shared_valid_ean13
B0713001_S_GoatSoap-004,H6167002_S_9349254004053,1,shared_valid_ean13
B0713001_S_GoatSoap-004,H8427001_S_9349254004053,1,shared_valid_ean13
B0713001_S_GoatSoap-004,S6375001_S_9349254004053,1,shared_valid_ean13
B0713001_S_GoatSoap-005,H6167001_S_9349254002011,1,shared_valid_ean13
B0713001_S_GoatSoap-005,H6167002_S_9349254002011,1,shared_valid_ean13
B0713001_S_GoatSoap-005,H7096001_S_9349254002011,1,shared_valid_ean13
B0713001_S_GoatSoap-005,H8427001_S_9349254002011,1,shared_valid_ean13
B0846001_S_4976631481166,B1604001_S_4976631481166,1,shared_valid_ean13
B0846001_S_4976631481166,B1604002_S_4976631481166,1,shared_valid_ean13
B0846001_S_4976631481166,B1838001_S_4976631481166,1,shared_valid_ean13
B0846001_S_4976631481166,H5985004_S_481166_4976631481166,1,shared_valid_ean13
B0846001_S_4976631481166,H8424001_S_4976631481166,1,shared_valid_ean13
B0846001_S_4976631481166,S6478006_S_481166_4976631481166,1,shared_valid_ean13
B0991001_S_A06854,B1025001_S_4976631478272,1,shared_valid_ean13
B0991001_S_A06854,B1025002_S_4976631478272,1,shared_valid_ean13
B0991001_S_A06854,B1025003_S_4976631478272,1,shared_valid_ean13
B0991001_S_A06854,B1064001_S_4976631478272,1,shared_valid_ean13
B0991001_S_A06854,H6167001_S_4976631478272,1,shared_valid_ean13
B0991001_S_A06854,H7096001_S_4976631478272,1,shared_valid_ean13
B0991001_S_A06854,H8424001_S_4976631478272,1,shared_valid_ean13
B0991001_S_A06854,S6478006_S_478272_4976631478272,1,shared_valid_ean13
B1023001_S_9349254002042,H6167001_S_9349254002042,1,shared_valid_ean13
B1023001_S_9349254002042,H6167002_S_9349254002042,1,shared_valid_ean13
B1023001_S_9349254002042,H8427001_S_9349254002042,1,shared_valid_ean13
B1025001_S_4976631478272,B1025002_S_4976631478272,1,shared_valid_ean13
B1025001_S_4976631478272,B1025003_S_4976631478272,1,shared_valid_ean13
B1025001_S_4976631478272,B1064001_S_4976631478272,1,shared_valid_ean13
B1025001_S_4976631478272,H6167001_S_4976631478272,1,shared_valid_ean13
B1025001_S_4976631478272,H7096001_S_4976631478272,1,shared_valid_ean13
B1025001_S_4976631478272,H8424001_S_4976631478272,1,shared_valid_ean13
B1025001_S_4976631478272,S6478006_S_478272_4976631478272,1,shared_valid_ean13
B1025001_S_4976631894225,B1025002_S_4976631894225,1,shared_valid_ean13
B1025001_S_4976631894225,B1025003_S_4976631894225,1,shared_valid_ean13
B1025001_S_4976631894225,H0967003_S_10215002,1,shared_valid_ean13
B1025002_S_4976631478272,B1025003_S_4976631478272,1,shared_valid_ean13
B1025002_S_4976631478272,B1064001_S_4976631478272,1,shared_valid_ean13
B1025002_S_4976631478272,H6167001_S_4976631478272,1,shared_valid_ean13
B1025002_S_4976631478272,H7096001_S_4976631478272,1,shared_valid_ean13
B1025002_S_4976631478272,H8424001_S_4976631478272,1,shared_valid_ean13
B1025002_S_4976631478272,S6478006_S_478272_4976631478272,1,shared_valid_ean13
B1025002_S_4976631894225,B1025003_S_4976631894225,1,shared_valid_ean13
B1025002_S_4976631894225,H0967003_S_10215002,1,shared_valid_ean13
B1025003_S_4976631478272,B1064001_S_4976631478272,1,shared_valid_ean13
B1025003_S_4976631478272,H6167001_S_4976631478272,1,shared_valid_ean13
B1025003_S_4976631478272,H7096001_S_4976631478272,1,shared_valid_ean13
B1025003_S_4976631478272,H8424001_S_4976631478272,1,shared_valid_ean13
B1025003_S_4976631478272,S6478006_S_478272_4976631478272,1,shared_valid_ean13
B1025003_S_4976631894225,H0967003_S_10215002,1,shared_valid_ean13
B1064001_S_4976631478272,H6167001_S_4976631478272,1,shared_valid_ean13
B1064001_S_4976631478272,H7096001_S_4976631478272,1,shared_valid_ean13
B1064001_S_4976631478272,H8424001_S_4976631478272,1,shared_valid_ean13
B1064001_S_4976631478272,S6478006_S_478272_4976631478272,1,shared_valid_ean13
B1064001_S_9312146006602,H6167001_S_9312146006602,1,shared_valid_ean13
B1064001_S_9312146006602,H7096001_S_9312146006602,1,shared_valid_ean13
B1064001_S_9312146006602,H7915001_S_9312146006602,1,shared_valid_ean13
B1064001_S_9312146006602,H8427001_S_9312146006602,1,shared_valid_ean13
B1064001_S_9312146006602,S6375001_S_9312146006602,1,shared_valid_ean13
B1149001_S_8720182256362,H8728001_S_8720182256362,1,shared_valid_ean13
B1149001_S_8720182256362,H9357001_S_8718114047249,1,shared_valid_ean13
B1149001_S_8720182256362,H9357001_S_8720182256362-1,1,shared_valid_ean13
B1149001_S_8720182256362,H9564001_S_DO06CB06,1,shared_valid_ean13
B1506001_S_8852086002780,H7273001_S_8852086002780,1,shared_valid_ean13
B1506001_S_8852086002780,H8196001_S_8852086922385,1,shared_valid_ean13
B1506001_S_8852086002797,H7273001_S_8852086002797,1,shared_valid_ean13
B1506001_S_8852086002797,H8196001_S_885208692239,1,shared_valid_ean13
B1506001_S_8852086002797,H8765001_S_25392,1,shared_valid_ean13
B1604001_S_4976631481166,B1604002_S_4976631481166,1,shared_valid_ean13
B1604001_S_4976631481166,B1838001_S_4976631481166,1,shared_valid_ean13
B1604001_S_4976631481166,H5985004_S_481166_4976631481166,1,shared_valid_ean13
B1604001_S_4976631481166,H8424001_S_4976631481166,1,shared_valid_ean13
B1604001_S_4976631481166,S6478006_S_481166_4976631481166,1,shared_valid_ean13
B1604001_S_4987072029022,B1604002_S_4987072029022,1,shared_valid_ean13
B1604002_S_4976631481166,B1838001_S_4976631481166,1,shared_valid_ean13
B1604002_S_4976631481166,H5985004_S_481166_4976631481166,1,shared_valid_ean13
B1604002_S_4976631481166,H8424001_S_4976631481166,1,shared_valid_ean13
B1604002_S_4976631481166,S6478006_S_481166_4976631481166,1,shared_valid_ean13
B1838001_S_4976631481166,H5985004_S_481166_4976631481166,1,shared_valid_ean13
B1838001_S_4976631481166,H8424001_S_4976631481166,1,shared_valid_ean13
B1838001_S_4976631481166,S6478006_S_481166_4976631481166,1,shared_valid_ean13
H5985001_S_781890_3253581781890,H5985004_S_781890_3253581781890,1,shared_valid_ean13
H5985001_S_781890_3253581781890,S6478001_S_781890_3253581781890,1,shared_valid_ean13
H5985001_S_781890_3253581781890,S6478006_S_781890_3253581781890,1,shared_valid_ean13
H5985004_S_481166_4976631481166,H8424001_S_4976631481166,1,shared_valid_ean13
H5985004_S_481166_4976631481166,S6478006_S_481166_4976631481166,1,shared_valid_ean13
