sku_a,sku_b,score,sources,embedding_cosine
B0027001_S_EM202401JL-3RAcneSoap,B0027002_S_EM202401JL-3RAcneSoap,1.00000000,brand_unit;legacy_block;packfree_exact,
B0059001_S_SAV26NJ_6,H5292003_S_SAV57NJ5,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A076-12B,0.98691280,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A401,0.66093162,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A404,0.72314130,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A405,0.81384963,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A406,0.56503458,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A407,0.72314130,brand_unit,
B0059001_S_SAV26NJ_6,H6141001_S_A408,0.73066531,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A409,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A410,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A463,0.98048927,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-ARGAN,0.81915261,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-BK-CUMIN,0.73019247,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-CHARCOAL,0.89667665,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-DEAD-SEA-MUD,0.88273363,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-HONEY,0.87978482,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-JASMINE,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-LEMON,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-ORG,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-RD-CLAY,0.81808877,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-ROSE,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6300002_S_BWNJL-10,0.40479863,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6300002_S_BWNJL-7,,brand_unit,
B0059001_S_SAV26NJ_6,H6300002_S_BWNJL-8,,brand_unit,
B0059001_S_SAV26NJ_6,H6300002_S_BWNJL-9,0.90748797,brand_unit,
B0059001_S_SAV26NJ_6,H7517001_S_NAJ0058,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H7517001_S_NAJ0959,0.74890288,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H7517001_S_NAJ5114,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,S2188001_S_NAJLalepSOAPsea100g3820N,0.46053969,brand_unit;legacy_block,
B0107004_S_LPTD-No-01069,B0107004_S_LPTD-No-01071,0.90670702,legacy_block,
B0107004_S_LPTD-No-01069,B0107004_S_LPTD-No-01072,0.89631705,legacy_block,
B0107004_S_LPTD-No-01069,B0122001_S_CP0002,0.02366912,legacy_block,
B0107004_S_LPTD-No-01069,S1061001_S_MON-030-158-0000,0.90897149,legacy_block,
B0107004_S_LPTD-No-01071,B0107004_S_LPTD-No-01072,0.94784475,legacy_block,
B0107004_S_LPTD-No-01071,B0122001_S_CP0002,0.01581515,legacy_block,
B0107004_S_LPTD-No-01071,S1061001_S_MON-030-158-0000,0.81810100,legacy_block,
B0107004_S_LPTD-No-01072,B0122001_S_CP0002,0.01389792,legacy_block,
B0107004_S_LPTD-No-01072,S1061001_S_MON-030-158-0000,0.86011373,legacy_block,
