group_id,previous_group_id,relation,overlap,jaccard
G5_9b25a1d47e667a49,G5_9b25a1d47e667a49,continued,10,1.0
G5_3b6b8c67110aeb04,G5_3b6b8c67110aeb04,continued,9,1.0
G5_0b9ec39ce3e3f0e3,G5_0b9ec39ce3e3f0e3,continued,9,1.0
G5_2e439a0ee880a99e,G5_2e439a0ee880a99e,continued,8,1.0
G5_2156e490d3ecec8e,G5_2156e490d3ecec8e,continued,7,1.0
G5_cdb2bbd313428c76,G5_cdb2bbd313428c76,continued,7,1.0
G5_c5fa6dbfaecb24bd,G5_c5fa6dbfaecb24bd,continued,7,1.0
G5_9053396fced5a9d1,G5_9053396fced5a9d1,continued,7,1.0
G5_ac37b5babb3f4153,G5_ac37b5babb3f4153,continued,7,1.0
G5_5cdf62663dd41831,G5_5cdf62663dd41831,continued,6,1.0
G5_779eb7ead086a2ea,G5_779eb7ead086a2ea,continued,6,1.0
G5_8195bd36d088af38,G5_8195bd36d088af38,continued,6,1.0
G5_97d1d037a4f497b5,G5_97d1d037a4f497b5,continued,6,1.0
G5_79e6d14dd1d0e3c4,G5_79e6d14dd1d0e3c4,continued,6,1.0
G5_4d71d27b347fc698,G5_4d71d27b347fc698,continued,5,1.0
G5_83fd2388e9bb8b72,G5_83fd2388e9bb8b72,continued,5,1.0
G5_cffac0731717c121,G5_cffac0731717c121,continued,5,1.0
G5_a174df8a2ffa116a,G5_a174df8a2ffa116a,continued,5,1.0
G5_5eec86ba602de1b5,G5_5eec86ba602de1b5,continued,5,1.0
G5_ad79377573a5ab19,G5_ad79377573a5ab19,continued,5,1.0
G5_5d12cb07c4b36955,G5_5d12cb07c4b36955,continued,5,1.0
G5_c3ad33320c8a34b6,G5_c3ad33320c8a34b6,continued,5,1.0
G5_7a51276b12a70ead,G5_7a51276b12a70ead,continued,4,1.0
G5_41eea3fec5c67328,G5_41eea3fec5c67328,continued,4,1.0
G5_d2e5259a39eff88e,G5_d2e5259a39eff88e,continued,4,1.0
G5_fd30c644dd5c5485,G5_fd30c644dd5c5485,continued,4,1.0
G5_0e025f6711e39c9d,G5_0e025f6711e39c9d,continued,4,1.0
G5_c69e525af7b3f858,G5_c69e525af7b3f858,continued,4,1.0
G5_192d1048bdf24777,G5_192d1048bdf24777,continued,4,1.0
G5_9dcbd88b17863f9c,G5_9dcbd88b17863f9c,continued,4,1.0
G5_8959a50d095a5e98,G5_8959a50d095a5e98,continued,4,1.0
G5_8ce3f281b1a8b3fa,G5_8ce3f281b1a8b3fa,continued,4,1.0
G5_da7579ccff662e21,G5_da7579ccff662e21,continued,4,1.0
G5_29daf56b573d2945,G5_29daf56b573d2945,continued,4,1.0
G5_d4eec0a0b5026555,G5_d4eec0a0b5026555,continued,4,1.0
G5_b77b3c4f4313bede,G5_b77b3c4f4313bede,continued,4,1.0
G5_b6401bedb1e17ec1,G5_b6401bedb1e17ec1,continued,4,1.0
G5_8231bd29ef2fb5a7,G5_8231bd29ef2fb5a7,continued,4,1.0
G5_f8f688cd0b545c6d,G5_f8f688cd0b545c6d,continued,4,1.0
G5_717098e34d295ea5,G5_717098e34d295ea5,continued,4,1.0
G5_9939c58ad80635dd,G5_9939c58ad80635dd,continued,3,1.0
G5_bc2889526d2e7053,G5_bc2889526d2e7053,continued,3,1.0
G5_aefa6bc706d77459,G5_aefa6bc706d77459,continued,3,1.0
G5_851305b4e3af9acd,G5_851305b4e3af9acd,continued,3,1.0
G5_4ad3a8e2c458a092,G5_4ad3a8e2c458a092,continued,3,1.0
G5_7198d7b87568ef73,G5_7198d7b87568ef73,continued,3,1.0
G5_468e146a56ec661a,G5_468e146a56ec661a,continued,3,1.0
G5_ba68624e280d593e,G5_ba68624e280d593e,continued,3,1.0
G5_80358f96656ade24,G5_80358f96656ade24,continued,3,1.0
G5_a159342afa8fc0b2,G5_a159342afa8fc0b2,continued,3,1.0
G5_54cd69cbe6668722,G5_54cd69cbe6668722,continued,3,1.0
G5_af54f205371dec47,G5_af54f205371dec47,continued,3,1.0
G5_00673a4c0a797dd0,G5_00673a4c0a797dd0,continued,3,1.0
G5_084dcbb8ab5abce9,G5_084dcbb8ab5abce9,continued,3,1.0
G5_9a042aa1ed0bbad2,G5_9a042aa1ed0bbad2,continued,3,1.0
G5_72c7fe9fe7f26206,G5_72c7fe9fe7f26206,continued,3,1.0
G5_eef8421ea9e03c5b,G5_eef8421ea9e03c5b,continued,3,1.0
G5_b792ad68dc2d68d5,G5_b792ad68dc2d68d5,continued,3,1.0
G5_7c861729aadfbfe4,G5_7c861729aadfbfe4,continued,3,1.0
G5_1b3f14271c838a71,G5_1b3f14271c838a71,continued,3,1.0
G5_e82ab14e4e05c2b5,G5_e82ab14e4e05c2b5,continued,3,1.0
G5_bc048a1de611b81b,G5_bc048a1de611b81b,continued,3,1.0
G5_567e97f4f68880f3,G5_567e97f4f68880f3,continued,3,1.0
G5_0c791661dea527a8,G5_0c791661dea527a8,continued,3,1.0
G5_649247549608872a,G5_649247549608872a,continued,3,1.0
G5_f21a98ca17caba6b,G5_f21a98ca17caba6b,continued,3,1.0
G5_028500cd1ea59862,G5_028500cd1ea59862,continued,3,1.0
G5_ba71aee1ff060f65,G5_ba71aee1ff060f65,continued,3,1.0
G5_1bea7d0660526529,G5_1bea7d0660526529,continued,3,1.0
G5_34102273ae4955d0,G5_34102273ae4955d0,continued,3,1.0
G5_f13f5ceb1c01afd9,G5_f13f5ceb1c01afd9,continued,3,1.0
