sku_id,group_id,group_name,group_size,brand_canonical,product_form,unit,origin,pack_count,ean,sku_name,method_version,dataset_sha256
B0713001_S_GoatSoap-005,G5_9b25a1d47e667a49,Goat Soap 山羊奶·原味·瘦羊 香皂 100g (澳洲),10,Goat Soap,soap_bar,100g,澳洲,1,9349254002011,【藍色】純天然山羊奶皂 - 原味100g（9349254002011）【平行進口】不同版本包裝隨機發,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H5859001_S_ST2804,G5_9b25a1d47e667a49,Goat Soap 山羊奶·原味·瘦羊 香皂 100g (澳洲),10,Goat Soap,soap_bar,100g,澳洲,1,,Goat 山羊奶皂 - 原味(藍色) 100g,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H5859001_S_ST2811,G5_9b25a1d47e667a49,Goat Soap 山羊奶·原味·瘦羊 香皂 100g (澳洲),10,Goat Soap,soap_bar,100g,澳洲,3,,Goat 山羊奶皂 - 原味(藍色) 100g x3,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H6167001_S_9349254002011,G5_9b25a1d47e667a49,Goat Soap 山羊奶·原味·瘦羊 香皂 100g (澳洲),10,Goat Soap,soap_bar,100g,澳洲,2,9349254002011,Goat Soap 瘦羊皂原味100g*2（平行進口）,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H6167002_S_9349254002011,G5_9b25a1d47e667a49,Goat Soap 山羊奶·原味·瘦羊 香皂 100g (澳洲),10,Goat Soap,soap_bar,100g,澳洲,2,9349254002011,Goat Soap 瘦羊皂原味100g*2（平行進口）,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H7096001_S_9349254002011,G5_9b25a1d47e667a49,Goat Soap 山羊奶·原味·瘦羊 香皂 100g (澳洲),10,Goat Soap,soap_bar,100g,澳洲,2,9349254002011,Goat Soap 瘦羊皂原味100g*2（平行進口）,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H8347001_S_GOAT-BP04,G5_9b25a1d47e667a49,Goat Soap 山羊奶·原味·瘦羊 香皂 100g (澳洲),10,Goat Soap,soap_bar,100g,澳洲,1,9349254002011,Goat Soap 純天然山羊奶手工皂-(原味)(02011)[平行進口],multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H8427001_S_9349254002011,G5_9b25a1d47e667a49,Goat Soap 山羊奶·原味·瘦羊 香皂 100g (澳洲),10,Goat Soap,soap_bar,100g,澳洲,1,9349254002011,純天然山羊奶皂 - 原味 100克 (平行進口),multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
S2232001_S_GOS2011X2,G5_9b25a1d47e667a49,Goat Soap 山羊奶·原味·瘦羊 香皂 100g (澳洲),10,Goat Soap,soap_bar,100g,澳洲,2,,優惠兩件裝*天然山羊奶手工皂 - 原味 藍色 100g ✥ [02011X2] (平行進口貨) 肥皂,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
S6258001_S_GOS2011X2,G5_9b25a1d47e667a49,Goat Soap 山羊奶·原味·瘦羊 香皂 100g (澳洲),10,Goat Soap,soap_bar,100g,澳洲,2,,優惠兩件裝*天然山羊奶手工皂 - 原味 藍色 100g ✥ [02011X2] (平行進口貨) 肥皂,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
B0216001_S_8720182256362-1,G5_3b6b8c67110aeb04,多芬 dove·柔嫩潔膚·多件 香皂 90g (德國),9,多芬,soap_bar,90g,德國,6,8720182256362,柔嫩潔膚香皂 （90g x 6）×8(新舊包裝隨機發送)（8720182256362）【多件優惠】,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
B1149001_S_8720182256362,G5_3b6b8c67110aeb04,多芬 dove·柔嫩潔膚·多件 香皂 90g (德國),9,多芬,soap_bar,90g,德國,6,8720182256362,多芬 - 柔嫩潔膚香皂 (6 x 90g),multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H6401001_S_dovesoap,G5_3b6b8c67110aeb04,多芬 dove·柔嫩潔膚·多件 香皂 90g (德國),9,多芬,soap_bar,90g,德國,6,,多芬 柔嫩潔膚香皂 90G X 6  (平行進口),multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H8728001_S_8720182256362,G5_3b6b8c67110aeb04,多芬 dove·柔嫩潔膚·多件 香皂 90g (德國),9,多芬,soap_bar,90g,德國,6,8720182256362,柔嫩潔膚香皂 (6 x 90g),multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H9357001_S_8718114047249,G5_3b6b8c67110aeb04,多芬 dove·柔嫩潔膚·多件 香皂 90g (德國),9,多芬,soap_bar,90g,德國,6,8718114047249;8720182256362,DOVE - 柔嫩潔膚香皂 90g x 6（8720182256362）,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H9357001_S_8720182256362-1,G5_3b6b8c67110aeb04,多芬 dove·柔嫩潔膚·多件 香皂 90g (德國),9,多芬,soap_bar,90g,德國,6,8720182256362,柔嫩潔膚香皂 （90g x 6）×8(新舊包裝隨機發送)（8720182256362）【多件優惠】,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H9564001_S_DO06CB06,G5_3b6b8c67110aeb04,多芬 dove·柔嫩潔膚·多件 香皂 90g (德國),9,多芬,soap_bar,90g,,6,8720182256362,多芬 柔嫩潔膚香皂 90g x 6 (8720182256362) [平行進口]  包裝隨機發貨,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
S2552001_S_10091DOV_BAR_SOA_MD,G5_3b6b8c67110aeb04,多芬 dove·柔嫩潔膚·多件 香皂 90g (德國),9,多芬,soap_bar,90g,德國,6,,DOVE 柔嫩潔膚香皂 90g x 6塊,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
S2552002_S_10091_HHL,G5_3b6b8c67110aeb04,多芬 dove·柔嫩潔膚·多件 香皂 90g (德國),9,多芬,soap_bar,90g,德國,6,,DOVE 柔嫩潔膚香皂 90g x 6塊,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
B0991001_S_A06854,G5_0b9ec39ce3e3f0e3,PELICAN 淡化黑色素·去黑色素·全身 香皂 80g (中國/台灣/日本/紐西蘭/韓國),9,PELICAN,soap_bar,80g,中國/台灣/日本/紐西蘭/韓國,1,4976631478272,臀部護理肥皂 (桃之香) 80g[4976631478272]  (平行進口),multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
B1025001_S_4976631478272,G5_0b9ec39ce3e3f0e3,PELICAN 淡化黑色素·去黑色素·全身 香皂 80g (中國/台灣/日本/紐西蘭/韓國),9,PELICAN,soap_bar,80g,日本,1,4976631478272,PELICAN 去黑色素去角質美臀pp蜜桃香皂 80g 平行進口 新舊版本隨機發貨,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
B1025002_S_4976631478272,G5_0b9ec39ce3e3f0e3,PELICAN 淡化黑色素·去黑色素·全身 香皂 80g (中國/台灣/日本/紐西蘭/韓國),9,PELICAN,soap_bar,80g,日本,1,4976631478272,PELICAN 去黑色素去角質美臀pp蜜桃香皂 80g 平行進口 新舊版本隨機發貨,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
B1025003_S_4976631478272,G5_0b9ec39ce3e3f0e3,PELICAN 淡化黑色素·去黑色素·全身 香皂 80g (中國/台灣/日本/紐西蘭/韓國),9,PELICAN,soap_bar,80g,日本,1,4976631478272,PELICAN 去黑色素去角質美臀pp蜜桃香皂 80g 平行進口 新舊版本隨機發貨,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
B1064001_S_4976631478272,G5_0b9ec39ce3e3f0e3,PELICAN 淡化黑色素·去黑色素·全身 香皂 80g (中國/台灣/日本/紐西蘭/韓國),9,PELICAN,soap_bar,80g,日本,1,4976631478272,去黑色素去角質美臀pp蜜桃香皂 80g (平行進口),multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H6167001_S_4976631478272,G5_0b9ec39ce3e3f0e3,PELICAN 淡化黑色素·去黑色素·全身 香皂 80g (中國/台灣/日本/紐西蘭/韓國),9,PELICAN,soap_bar,80g,日本,1,4976631478272,去黑色素去角質美臀pp蜜桃香皂 80g (平行進口),multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H7096001_S_4976631478272,G5_0b9ec39ce3e3f0e3,PELICAN 淡化黑色素·去黑色素·全身 香皂 80g (中國/台灣/日本/紐西蘭/韓國),9,PELICAN,soap_bar,80g,日本,1,4976631478272,去黑色素去角質美臀pp蜜桃香皂 80g (平行進口),multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H8424001_S_4976631478272,G5_0b9ec39ce3e3f0e3,PELICAN 淡化黑色素·去黑色素·全身 香皂 80g (中國/台灣/日本/紐西蘭/韓國),9,PELICAN,soap_bar,80g,日本,1,4976631478272,Pelican - 蒟蒻臀部PP 去角質保濕蜜桃皂 80g (全身可用淡化黑色素) [平行進口][Parallel Import],multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
S6478006_S_478272_4976631478272,G5_0b9ec39ce3e3f0e3,PELICAN 淡化黑色素·去黑色素·全身 香皂 80g (中國/台灣/日本/紐西蘭/韓國),9,PELICAN,soap_bar,80g,,1,4976631478272,去角質淡化黑色素保濕蜜桃皂 80g [平行進口],multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
B1064001_S_9312146006602,G5_2e439a0ee880a99e,星期四茶樹 茶樹油·不同 香皂 125g (澳洲),8,星期四茶樹,soap_bar,125g,澳洲,3,9312146006602,星期四茶樹 茶樹油香皂125g X 3個（平行進口）,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
B1151001_S_THP2249,G5_2e439a0ee880a99e,星期四茶樹 茶樹油·不同 香皂 125g (澳洲),8,星期四茶樹,soap_bar,125g,澳洲,1,,澳洲 茶樹香皂 125克【平行進口】,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
B1151001_S_THP3020,G5_2e439a0ee880a99e,星期四茶樹 茶樹油·不同 香皂 125g (澳洲),8,星期四茶樹,soap_bar,125g,澳洲,3,,澳洲 茶樹香皂 125克X3個 【平行進口】,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H6167001_S_9312146006602,G5_2e439a0ee880a99e,星期四茶樹 茶樹油·不同 香皂 125g (澳洲),8,星期四茶樹,soap_bar,125g,澳洲,3,9312146006602,星期四茶樹 茶樹油香皂125g X 3個（平行進口）,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
H7096001_S_9312146006602,G5_2e439a0ee880a99e,星期四茶樹 茶樹油·不同 香皂 125g (澳洲),8,星期四茶樹,soap_bar,125g,澳洲,3,9312146006602,星期四茶樹 茶樹油香皂125g X 3個（平行進口）,multipass-v1-lexical,373e0ce20215d71dcabbbc621467b5ca305632be55a597e0bc9b587bc775b755
