sku_a,sku_b,score,sources,embedding_cosine
B0027001_S_EM202401JL-3RAcneSoap,B0027002_S_EM202401JL-3RAcneSoap,1.00000000,brand_unit;legacy_block;packfree_exact;semantic_topk,1.00000072
B0058001_S_HS-0269,H7071001_S_AKM00340,0.17485003,semantic_topk,0.73647410
B0059001_S_SAV26NJ_6,H5292003_S_SAV57NJ5,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A076-12B,0.98527227,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A401,0.16476321,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A404,0.24225551,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A405,0.18971059,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A406,0.75729056,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A407,0.11411274,brand_unit,
B0059001_S_SAV26NJ_6,H6141001_S_A408,0.13718483,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A409,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A410,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A463,0.99269847,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-ARGAN,0.64207904,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-BK-CUMIN,0.07647703,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-CHARCOAL,0.21061796,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-DEAD-SEA-MUD,0.27912567,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-HONEY,0.11536945,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-JASMINE,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-LEMON,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-ORG,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-RD-CLAY,0.07718537,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6173001_S_NAJEL-ROSE,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6300002_S_BWNJL-10,0.49751315,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6300002_S_BWNJL-7,,brand_unit,
B0059001_S_SAV26NJ_6,H6300002_S_BWNJL-8,,brand_unit,
B0059001_S_SAV26NJ_6,H6300002_S_BWNJL-9,0.09053387,brand_unit,
B0059001_S_SAV26NJ_6,H7517001_S_NAJ0058,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H7517001_S_NAJ0959,0.11727317,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H7517001_S_NAJ5114,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,S2188001_S_NAJLalepSOAPsea100g3820N,0.01166243,brand_unit;legacy_block,
B0107004_S_LPTD-No-01069,B0107004_S_LPTD-No-01071,0.97123858,legacy_block,
B0107004_S_LPTD-No-01069,B0107004_S_LPTD-No-01072,0.94666303,legacy_block,
B0107004_S_LPTD-No-01069,B0122001_S_CP0002,0.00210068,legacy_block,
B0107004_S_LPTD-No-01069,S1061001_S_MON-030-158-0000,0.15320380,legacy_block,
B0107004_S_LPTD-No-01071,B0107004_S_LPTD-No-01072,0.90563087,legacy_block;semantic_topk,0.76186794
B0107004_S_LPTD-No-01071,B0122001_S_CP0002,0.00210068,legacy_block,
B0107004_S_LPTD-No-01071,S1061001_S_MON-030-158-0000,0.05407305,legacy_block,
B0107004_S_LPTD-No-01072,B0122001_S_CP0002,0.00298669,legacy_block,
B0107004_S_LPTD-No-01072,S1061001_S_MON-030-158-0000,0.03988062,legacy_block,
B0107004_S_LPTD-No-01073,H6974002_S_SA1782,0.02540615,legacy_block,
B0107004_S_LPTD-No-01073,H7343015_S_3PLHK230223JJQT05858RMN01,0.96369669,legacy_block,
B0107004_S_LPTD-No-01073,H8782002_S_8858891600715,0.00348946,legacy_block,
B0107004_S_LPTD-No-01388,B0446001_S_Ehome-0008,0.90307289,legacy_block,
B0107004_S_LPTD-No-01388,B0446001_S_Ehome-0009,0.90307289,legacy_block,
B0107004_S_LPTD-No-01388,B0446001_S_Ehome-0010,0.90307289,legacy_block,
B0107004_S_LPTD-No-01388,B0446001_S_Ehome-0011,0.90307289,legacy_block,
B0107004_S_LPTD-No-01388,B0446001_S_Ehome-0012,0.90307289,legacy_block,
B0107004_S_LPTD-No-01388,B0446001_S_Ehome-0158,0.90645739,legacy_block,
