sku_a,sku_b,score,sources,embedding_cosine
B0005001_S_FB779,B1615001_S_XM-JMXZ080000141,0.26336265,semantic_topk,0.73265517
B0005001_S_FB779,B1823001_S_6979526730149,0.00056261,semantic_topk,0.70573097
B0005001_S_FB779,B1823001_S_6979526730156,0.00052821,semantic_topk,0.72030437
B0005001_S_FB779,C0631001_S_12414453935,,semantic_topk,0.75150460
B0005001_S_FB779,H6706001_S_cs169985,0.00049227,semantic_topk,0.67685449
B0005001_S_FB779,H8734001_S_Dor_care_body_soap,,semantic_topk,0.73282605
B0027001_S_EM202401JL-3RAcneSoap,B0027002_S_EM202401JL-3RAcneSoap,1.00000000,brand_unit;legacy_block;packfree_exact;semantic_topk,1.00000060
B0027001_S_EM202401JL-3RAcneSoap,H9592001_S_S010C__78,0.00164018,semantic_topk,0.70602238
B0027001_S_EM202401JL-3RAcneSoap,H9592001_S_S015B__78,0.01044441,semantic_topk,0.73730904
B0027001_S_EM202401JL-3RAcneSoap,H9592001_S_S028__78,0.00147097,semantic_topk,0.70627713
B0027002_S_EM202401JL-3RAcneSoap,H9592001_S_S010C__78,0.00155977,semantic_topk,0.70602238
B0027002_S_EM202401JL-3RAcneSoap,H9592001_S_S015B__78,0.00878879,semantic_topk,0.73730904
B0027002_S_EM202401JL-3RAcneSoap,H9592001_S_S028__78,0.00184572,semantic_topk,0.70627713
B0058001_S_HS-0269,B1193001_S_H4147_TBD0604665503,0.00054466,semantic_topk,0.71833074
B0058001_S_HS-0269,B1260001_S_H4158_TBD0604665503,0.00035749,semantic_topk,0.69528186
B0058001_S_HS-0269,H7071001_S_AKM00340,0.25149512,semantic_topk,0.83843136
B0059001_S_3700962902851,C0702001_S_6078418429330_H,0.00906965,semantic_topk,0.73675227
B0059001_S_3700962902851,H5621001_S_67818,0.00132537,semantic_topk,0.72401035
B0059001_S_3700962902851,H5621001_S_95967,0.01346397,semantic_topk,0.73401952
B0059001_S_SAV26NJ_6,H0229003_S_5TAD-3593290027859,0.86557783,semantic_topk,0.79258978
B0059001_S_SAV26NJ_6,H5292003_S_SAV57NJ5,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A076-12B,0.59611215,brand_unit;legacy_block;semantic_topk,0.81238091
B0059001_S_SAV26NJ_6,H6141001_S_A401,0.05006948,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A404,0.80540067,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A405,0.07455950,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A406,0.84516834,brand_unit;legacy_block;semantic_topk,0.87437624
B0059001_S_SAV26NJ_6,H6141001_S_A407,0.59757131,brand_unit,
B0059001_S_SAV26NJ_6,H6141001_S_A408,0.02778975,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A409,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A410,,brand_unit;legacy_block,
B0059001_S_SAV26NJ_6,H6141001_S_A463,0.79829437,brand_unit;legacy_block;semantic_topk,0.82203376
